<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;210603;000000;555.45;561.9;540.1;559.45;15161240
ROSN;D;210604;000000;560.4;563.25;554.05;556.45;8560250
ROSN;D;210607;000000;554.2;557.5;547.9;551.55;7101600
ROSN;D;210608;000000;550.9;552.25;544.6;550.25;8276560
ROSN;D;210609;000000;552.65;553.4;546;548.25;7296010
ROSN;D;210610;000000;548.2;551.7;535.65;539.6;13978250
ROSN;D;210611;000000;539.9;542.1;530.2;535.45;8147670
ROSN;D;210614;000000;531.55;541.85;530.7;537.6;4248740
ROSN;D;210615;000000;538.55;542;532.35;536.05;5533100
ROSN;D;210616;000000;537.65;545.75;536.45;541.25;6749360
ROSN;D;210617;000000;539.9;543.85;534;537;15039020
ROSN;D;210618;000000;537;543.4;526.75;541;11471730
ROSN;D;210621;000000;541.35;542.8;534.25;541.2;5184600
ROSN;D;210622;000000;543.05;553.2;542.05;551.85;7529540
ROSN;D;210623;000000;553.35;571.4;553.35;570.45;19196290
ROSN;D;210624;000000;570.45;572.9;565.05;565.95;15281830
ROSN;D;210625;000000;566;566.4;560.65;564.7;3781620
ROSN;D;210628;000000;564.65;564.95;553.05;555;7221370
ROSN;D;210629;000000;554.5;558.75;548;553.05;5988960
ROSN;D;210630;000000;554.9;571.8;551.7;571.2;14688620
ROSN;D;210701;000000;570;586.95;569.65;581.45;34217710
ROSN;D;210702;000000;580.2;585.9;562.85;567;13336120
ROSN;D;210705;000000;567.9;569.9;561;567.5;3911250
ROSN;D;210706;000000;570.05;580.55;565.35;571;20636520
ROSN;D;210707;000000;571.75;583;570;580.25;14458720
ROSN;D;210708;000000;578.95;582;572.65;581.1;13944140
ROSN;D;210709;000000;581.25;586.75;574.1;577.85;16852780
ROSN;D;210712;000000;577.4;579.4;570.5;579;4516390
ROSN;D;210713;000000;578.6;584.1;573;576;7697530
ROSN;D;210714;000000;575.6;582.95;568.8;569;15586430
ROSN;D;210715;000000;567;568;556.3;562.5;6006040
ROSN;D;210716;000000;560.6;570.4;556.85;563.45;4373550
ROSN;D;210719;000000;558;559.4;543.25;543.9;8424760
ROSN;D;210720;000000;547.55;550.6;536.7;547.5;5138390
ROSN;D;210721;000000;547;553.1;543.2;551.9;3752310
ROSN;D;210722;000000;552.8;556.25;549.35;553.65;3432430
ROSN;D;210723;000000;554.8;556;545.2;548.85;2498220
ROSN;D;210726;000000;545.85;552.9;540.2;552.7;3110830
ROSN;D;210727;000000;551.5;553.9;547.15;551.2;1967990
ROSN;D;210728;000000;551;555.7;550.5;554.25;2444670
ROSN;D;210729;000000;555.7;558.1;550.75;554;3634170
ROSN;D;210730;000000;552.4;554.8;539.55;544.5;5236850
ROSN;D;210802;000000;545.05;550.8;541.25;548.85;5232950
ROSN;D;210803;000000;547.7;551;542.2;551;3432600
ROSN;D;210804;000000;551.65;553.2;542.8;543.5;4380870
ROSN;D;210805;000000;542.85;548.7;538.15;548;5503520
ROSN;D;210806;000000;548.95;552.4;544.05;544.9;4442130
ROSN;D;210809;000000;539.6;548;535.25;545;7267800
ROSN;D;210810;000000;547.6;564.1;547;562.55;7887670
ROSN;D;210811;000000;564.05;568.4;558.85;561.8;4532310
ROSN;D;210812;000000;561.45;567.85;557.2;565.9;5487290
ROSN;D;210813;000000;565.4;568.7;555;558.55;4781590
ROSN;D;210816;000000;556.6;567.65;551.5;564.4;15423440
ROSN;D;210817;000000;562.85;563;552.9;555;9540250
ROSN;D;210818;000000;557.8;559.9;542.25;546.95;8538510
ROSN;D;210819;000000;543.85;547.75;531.45;537.8;11527470
ROSN;D;210820;000000;538;538.35;530.1;534;3352790
ROSN;D;210823;000000;538.15;545.45;536.1;544.85;3373360
ROSN;D;210824;000000;545.9;549.55;539.25;545;5419300
ROSN;D;210825;000000;544.5;545.75;536.55;538.5;4318270
ROSN;D;210826;000000;538.45;538.85;531.5;531.7;3971600
ROSN;D;210827;000000;533.75;538.2;533.1;537.8;3075140
ROSN;D;210830;000000;539.55;540.95;536.35;539.3;2549170
ROSN;D;210831;000000;540;540.4;531.55;533.6;5183626
ROSN;D;210901;000000;536.35;541.75;534.8;541.55;4941116
ROSN;D;210902;000000;542.1;556.2;538.1;550.7;10439019
ROSN;D;210903;000000;551.6;556.9;550.45;555.4;5482506
ROSN;D;210906;000000;554.95;557.15;548.2;550.7;3360967
ROSN;D;210907;000000;552.1;554.4;542;547.3;3480092
ROSN;D;210908;000000;547.3;559;541.5;555.9;7043556
ROSN;D;210909;000000;554.15;555.4;541.3;541.9;4384237
ROSN;D;210910;000000;545;549.2;540.2;543.3;2322338
